"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"WGBS","WaferGen Bio-systems, Inc.","1.53","8731179.09","n/a","United States","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/wgbs",
"WAGE","WageWorks, Inc.","47.56","1705213814.44","n/a","United States","2012","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/wage",
"WBA","Walgreens Boots Alliance, Inc.","90.17","98491132141.04","n/a","United States","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/wba",
"WD","Walker & Dunlop, Inc.","23.7","722747379","n/a","United States","2010","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/wd",
"WMT","Wal-Mart Stores, Inc.","64.28","206077939096.84","n/a","United States","n/a","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/wmt",
"DIS","Walt Disney Company (The)","103.82","175233410604.06","n/a","United States","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/dis",
"WAC","Walter Investment Management Corp.","16.4","619957670.8","n/a","United States","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/wac",
"WRES","Warren Resources, Inc.","0.54","43849871.64","n/a","United States","2004","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/wres",
"WAFD","Washington Federal, Inc.","22.44","2108959401.12","n/a","United States","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/wafd",
"WAFDW","Washington Federal, Inc.","5.11","0","n/a","United States","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/wafdw",
"WRE","Washington Real Estate Investment Trust","24.38","1661785098.46","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/wre",
"WASH","Washington Trust Bancorp, Inc.","38.17","642830741.52","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/wash",
"WFBI","WashingtonFirst Bankshares Inc","17.95","172309337.7","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/wfbi",
"WCN","Waste Connections, Inc.","48.55","5991652600","n/a","United States","n/a","Public Utilities","Environmental Services","http://www.nasdaq.com/symbol/wcn",
"WM","Waste Management, Inc.","49.89","22562773004.79","n/a","United States","n/a","Public Utilities","Environmental Services","http://www.nasdaq.com/symbol/wm",
"WAT","Waters Corporation","124.16","10214687028.48","n/a","United States","1995","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/wat",
"WSBF","Waterstone Financial, Inc.","12.99","390062395.02","n/a","United States","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/wsbf",
"WSO","Watsco, Inc.","121.9","4297137248.9","n/a","United States","n/a","Consumer Durables","Industrial Machinery/Components","http://www.nasdaq.com/symbol/wso",
"WTS","Watts Water Technologies, Inc.","52.41","1818938053.35","n/a","United States","1986","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/wts",
"WPP","Wausau Paper Corp.","7","350561568","n/a","United States","n/a","Basic Industries","Paper","http://www.nasdaq.com/symbol/wpp",
"WAVX","Wave Systems Corp.","0.155","9293029.03","n/a","United States","1994","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/wavx",
"W","Wayfair Inc.","32.58","1409979907.44","n/a","United States","2014","Consumer Services","Catalog/Specialty Distribution","http://www.nasdaq.com/symbol/w",
"WAYN","Wayne Savings Bancshares Inc.","12.55","34912079.45","n/a","United States","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/wayn",
"WSTG","Wayside Technology Group, Inc.","18.085","86922134.435","n/a","United States","n/a","Technology","Retail: Computer Software & Peripheral Equipment","http://www.nasdaq.com/symbol/wstg",
"WCIC","WCI Communities, Inc.","24.86","648858604.02","n/a","United States","2013","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/wcic",
"WDFC","WD-40 Company","84.17","1219466070.44","n/a","United States","1973","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/wdfc",
"FLAG","WeatherStorm Forensic Accounting Long Short ETF","30.21","12084000","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/flag",
"WWWW","Web.com Group, Inc.","22.47","1150719686.13","n/a","United States","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/wwww",
"WBMD","WebMD Health Corp","38.76","1472001039.48","n/a","United States","2005","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/wbmd",
